Company_Name,Country,Sector,Overall_Rating,Overall_Score,Environmental_Score,Social_Score,Governance_Score
"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC",US,Health Care Equipment & Supplies,A,5.8,8.0,5.5,5.7
ALLY BANK,US,Consumer Finance,A,6.0,8.7,4.3,6.0
ALLY FINANCIAL INC,US,Consumer Finance,A,6.0,8.7,4.3,6.0
"ALPHA APPALACHIA HOLDINGS, LLC",US,Steel,B,1.6,,1.8,6.1
"ALPHA METALLURGICAL RESOURCES, INC",US,Steel,B,1.6,,1.8,6.1
ALPINE SECURITIZATION LTD,US,Investment Banking & Brokerage,A,7.1,,6.2,3.9
"ALPS ALPINE CO, LTD",JP,"Electronic Equipment, Instruments & Components",A,6.5,2.8,5.6,4.5
"ALTA WIND HOLDINGS, LLC",US,Utilities,A,7.0,7.4,3.9,5.3
ALTAIR ENGINEERING INC,US,Software & Services,A,6.0,,4.7,5.3
"ALTO CENTRAL, LLC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,1.6,1.8,4.5,4.8
"ALTO INGREDIENTS, INC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,1.6,1.8,4.5,4.8
ALTUS MIDSTREAM LP,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.5,3.7,5.1,7.5
"AMADA CO,LTD",JP,Industrial Machinery,A,6.6,6.2,5.7,4.6
AMALGAMATED BANK,US,Banks,A,5.9,,4.0,5.6
"AMB CANADA INVESTMENTS, LLC",US,Real Estate Management & Services,A,6.6,7.1,6.2,5.1
AMC NETWORKS INC,US,Media & Entertainment,B,1.7,6.7,4.9,1.1
AMERCO,US,Road & Rail Transport,A,5.9,,5.5,3.1
AMEREN CORPORATION,US,Utilities,A,6.5,6.0,6.2,6.1
AMEREN ILLINOIS COMPANY,US,Utilities,A,6.5,6.0,6.2,6.1
AMERICAN AIRLINES GROUP INC,US,Airlines,B,2.8,3.1,3.1,4.5
"AMERICAN AIRLINES, INC",US,Airlines,B,2.8,3.1,3.1,4.5
"AMERICAN ELECTRIC POWER COMPANY, INC",US,Utilities,A,7.1,7.0,7.1,6.2
"AMERICAN FINANCIAL GROUP, INC",US,Property & Casualty Insurance,B,2.6,1.4,4.1,4.3
AMERICAN HONDA FINANCE CORPORATION,US,Consumer Finance,A,7.1,8.5,1.8,5.4
"AMERICAN NATIONAL GROUP, INC",US,Multi-Line Insurance & Brokerage,B,2.6,2.6,3.8,4.8
"AMERICAN PREMIER UNDERWRITERS, INC",US,Property & Casualty Insurance,B,2.6,1.4,4.1,4.3
"AMERICAN PUBLIC EDUCATION, INC",US,Diversified Consumer Services,A,6.2,6.5,3.9,6.0
AMERICAN SOUTHERN BANK,US,Banks,A,7.0,2.3,4.3,7.0
AMERICAN STATES WATER COMPANY,US,Utilities,A,6.1,5.6,6.0,6.9
"AMERICAN STORES COMPANY, LLC",US,Retail - Food & Staples,B,2.7,,2.9,6.2
AMERICAN TRANSMISSION COMPANY LLC,US,Utilities,A,6.5,6.4,5.0,6.0
"AMERICAN TRANSMISSION SYSTEMS, INCORPORATED",US,Utilities,A,5.8,,5.3,4.2
AMERICAN VANGUARD CORPORATION,US,Specialty Chemicals,B,2.0,3.1,0.0,5.4
AMERICAN WATER CAPITAL CORP,US,Utilities,A,7.0,6.5,4.7,7.5
"AMERICAN WATER WORKS COMPANY, INC",US,Utilities,A,7.0,,4.7,7.5
"AMERICAS CAR-MART, INC",US,Retail - Consumer Discretionary,A,6.8,2.1,5.5,6.6
"AMERICOLD REALTY OPERATING PARTNERSHIP, LP",US,Real Estate Management & Services,B,2.6,5.1,0.0,6.1
AMERICOLD REALTY TRUST,US,Real Estate Management & Services,B,2.6,,0.0,6.1
"AMERIPRISE FINANCIAL, INC",US,Asset Management & Custody Banks,A,6.1,8.7,5.6,3.4
"AMERISAFE, INC",US,Property & Casualty Insurance,B,2.1,2.8,2.1,5.3
"AMETEK, INC",US,Electrical Equipment,B,1.5,4.6,0.8,5.6
"AMICUS THERAPEUTICS, INC",US,Biotechnology,B,2.4,3.1,3.3,5.2
"AMMO, INC",US,Leisure Products,A,6.5,0.9,6.8,5.5
AMNEAL PHARMACEUTICALS LLC,US,Pharmaceuticals,B,1.8,4.1,2.6,3.4
"AMNEAL PHARMACEUTICALS, INC",US,Pharmaceuticals,B,1.8,4.1,2.6,3.4
AMOREPACIFIC CORP,KR,Household & Personal Products,A,6.1,6.2,5.6,4.4
ANA HOLDINGS INC,JP,Airlines,A,6.9,,6.4,3.7
ANDEAVOR LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.0,5.0,5.1,5.8
"ANGI GROUP, LLC",US,Interactive Media & Services,B,1.6,6.2,2.4,3.1
ANGI INC,US,Interactive Media & Services,B,1.6,6.2,2.4,3.1
"ANGIODYNAMICS, INC",US,Health Care Equipment & Supplies,A,7.1,,6.3,5.8
ANHUI CONCH CEMENT COMPANY LIMITED,CN,Construction Materials,B,2.0,2.3,2.6,3.6
ANHUI GUJING DISTILLERY COMPANY LIMITED,CN,Beverages,B,1.9,,3.8,2.7
"ANIKA THERAPEUTICS, INC",US,Biotechnology,B,2.4,4.4,3.4,6.8
ANRITSU CORPORATION,JP,"Electronic Equipment, Instruments & Components",A,6.1,3.5,5.6,4.3
"ANTARES PHARMA, INC",US,Pharmaceuticals,A,7.1,6.4,4.1,5.5
"ANTHEM INSURANCE COMPANIES, INC",US,Health Care Providers & Services,A,6.3,10.0,4.9,6.5
"ANTHEM, INC",US,Health Care Providers & Services,A,6.3,,4.9,6.5
APA CORPORATION,US,Oil & Gas Exploration & Production,A,6.5,,5.1,6.3
APACHE CORPORATION,US,Oil & Gas Exploration & Production,A,6.5,3.7,5.1,7.5
"APOLLO ASSET MANAGEMENT, INC",US,Diversified Financials,B,1.5,10.0,5.7,3.1
"APOLLO GLOBAL MANAGEMENT, INC",US,Diversified Financials,B,1.5,10.0,5.7,3.1
"APOLLO MANAGEMENT HOLDINGS, LP",US,Asset Management & Custody Banks,B,1.5,10.0,5.7,3.1
APPIAN CORPORATION,US,Software & Services,A,6.2,,5.6,4.2
APPLE INC,US,"Technology Hardware, Storage & Peripherals",A,6.1,3.8,5.6,3.6
"APTARGROUP, INC",US,Containers & Packaging,A,7.0,6.3,2.7,5.9
"AQUA PENNSYLVANIA, INC",US,Utilities,A,7.0,6.3,6.9,5.8
"ARBOR REALTY TRUST, INC",US,Asset Management & Custody Banks,B,1.8,,4.2,3.4
"ARCLAND SERVICE HOLDINGS CO,LTD",JP,Restaurants,B,1.43,1.5,3.5,4.9
ARCONIC CORPORATION,US,Metals and Mining - Non-Precious Metals,A,5.8,3.8,3.2,5.9
ARDAGH METAL PACKAGING FINANCE USA LLC,US,Containers & Packaging,B,1.7,6.1,3.1,3.8
"ARENA PHARMACEUTICALS, INC",US,Biotechnology,A,6.2,5.7,4.6,5.4
ARES COMMERCIAL REAL ESTATE CORPORATION,US,Asset Management & Custody Banks,B,1.8,6.7,2.5,4.1
"ARGAN, INC",US,Construction & Engineering,A,5.8,,4.4,4.9
"ARMOUR RESIDENTIAL REIT, INC",US,Asset Management & Custody Banks,B,2.4,8.0,3.0,3.3
ARRAY BIOPHARMA INC,US,Pharmaceuticals,B,1.5,4.7,3.6,4.2
"ARRAY TECHNOLOGIES, INC",US,Electrical Equipment,B,2.6,4.1,4.6,5.1
ARRK CORPORATION,JP,Commodity Chemicals,A,7.0,4.7,3.2,6.3
ASGN INCORPORATED,US,Professional Services,A,6.9,8.0,5.7,7.0
ASIA CEMENT (CHINA) HOLDINGS CORPORATION,CN,Construction Materials,B,2.4,0.6,4.6,2.8
ASKUL Corporation,JP,Retail - Consumer Discretionary,A,6.8,2.1,7.7,3.8
"ASPEN TECHNOLOGY, INC",US,Software & Services,A,7.1,5.4,5.9,5.6
ASPIRA WOMENS HEALTH INC,US,Health Care Equipment & Supplies,A,6.8,5.9,5.9,4.9
"ASSETMARK FINANCIAL HOLDINGS, INC",US,Asset Management & Custody Banks,B,1.9,6.7,2.5,5.5
ASSOCIATES CORPORATION OF NORTH AMERICA,US,Banks,A,7.0,8.7,3.9,5.0
"ASTEC INDUSTRIES, INC",US,Construction & Farm Machinery & Heavy Trucks,A,6.9,3.3,5.4,5.8
ATKORE INC,US,Electrical Equipment,A,5.9,3.1,5.1,7.4
"ATKORE INTERNATIONAL, INC",US,Electrical Equipment,A,5.9,3.1,5.1,7.4
ATLANTA GAS LIGHT CO,US,Utilities,A,6.5,6.8,6.9,5.1
ATLANTIC ASSET SECURITIZATION LLC,US,Banks,A,7.1,7.7,4.6,6.6
ATLANTIC CITY ELECTRIC COMPANY,US,Utilities,A,7.0,7.4,5.6,5.5
"ATLANTIC RESIDENTIAL A, LLC",US,Real Estate Management & Services,A,6.1,,4.4,5.7
ATLANTIC RICHFIELD COMPANY,US,Integrated Oil & Gas,A,6.0,4.4,5.4,6.5
ATLANTICUS HOLDINGS CORPORATION,US,Consumer Finance,B,2.7,7.0,3.6,3.4
ATMOS ENERGY CORPORATION,US,Utilities,A,6.5,6.2,5.7,6.7
"ATN INTERNATIONAL, INC",US,Telecommunication Services,B,2.2,,3.4,4.1
ATOM CORPORATION,JP,Restaurants,B,2.5,1.2,4.4,4.8
"AUCTIONCOM, LLC",US,Professional Services,B,2.8,8.0,4.4,4.4
AUDACY CAPITAL CORP,US,"Broadcasting, Cable & Satellite",B,2.7,8.0,3.4,3.6
AUTOCAM CORPORATION,US,Industrial Machinery,B,2.3,2.1,2.4,4.8
"AVAILITY, LLC",US,Health Care Providers & Services,A,6.3,10.0,4.6,5.7
AVAYA HOLDINGS CORP,US,Software & Services,A,6.4,5.0,5.5,4.7
AVAYA INC,US,"Technology Hardware, Storage & Peripherals",A,6.4,5.0,5.5,4.7
"AVIC INTERNATIONAL LEASING CO, LTD",CN,Diversified Financials,B,1.6,0.0,4.4,0.9
"AVIC Industry-Finance Holdings Co, Ltd",CN,Diversified Financials,B,1.6,0.0,4.4,0.9
"AVIC Jonhon Optronic Technology Co, Ltd",CN,"Electronic Equipment, Instruments & Components",B,2.3,4.6,4.4,2.0
"AVIC SECURITIES CO, LTD",CN,Diversified Financials,B,1.6,0.0,4.4,0.9
"AVNET, INC",US,"Electronic Equipment, Instruments & Components",A,7.1,2.7,5.7,6.2
AXOS BANK,US,Banks,B,2.5,3.1,3.2,5.3
"AXOS FINANCIAL, INC",US,Banks,B,2.5,3.1,3.2,5.3
"AXSOME THERAPEUTICS, INC",US,Pharmaceuticals,A,6.9,6.1,5.8,3.8
AZUL INVESTMENTS LLP,US,Airlines,A,6.9,8.3,4.6,4.3
"AZURITY PHARMACEUTICALS, INC",US,Trading Companies & Distributors,A,7.1,,5.9,6.4
AZURIX CORP,US,Investment Banking & Brokerage,A,7.1,8.6,4.7,3.7
Adaptive Biotechnologies Corp,US,Health Care Equipment & Supplies,A,6.3,5.9,5.2,5.6
Advance Residence Investment Corporation,JP,Real Estate Management & Services,A,5.8,7.0,4.7,4.8
Aeon Hokkaido Corporation,JP,Retail - Food & Staples,A,6.2,3.9,6.5,1.5
Aeva Technologies Inc,US,"Electronic Equipment, Instruments & Components",B,1.9,2.1,3.0,4.6
Aeye Inc,US,"Electronic Equipment, Instruments & Components",B,2.3,3.0,2.4,5.1
Affirm Holdings Inc,US,Software & Services,B,2.1,6.7,2.1,4.5
