Company_Name,Country,Sector,Overall_Rating,Overall_Score,Environmental_Score,Social_Score,Governance_Score
ACE CAPITAL TRUST II,US,Property & Casualty Insurance,0,6.7,5.6,4.7,5.2
ACEA SPA,IT,Utilities,0,6.3,7.3,5.4,3.9
ACEF SA,BR,Diversified Consumer Services,1,2.1,6.0,3.5,3.4
ACM Research Inc,US,Semiconductors & Semiconductor Equipment,1,1.8,3.5,4.6,3.6
"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, SA",ES,Construction & Engineering,0,5.8,5.8,7.1,5.1
"ACS, Servicios Comunicaciones y Energia, SL",ES,Construction & Engineering,0,5.8,5.8,7.1,5.1
ACTIAN CORPORATION,US,Software & Services,0,6.9,6.8,3.8,6.8
ADANI GREEN ENERGY (MP) LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI GREEN ENERGY (UP) LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI GREEN ENERGY LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI GREEN ENERGY TWENTY THREE LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI HYBRID ENERGY JAISALMER ONE LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI RENEWABLE ENERGY (KA) LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI RENEWABLE ENERGY (RJ) LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI SOLAR ENERGY CHITRAKOOT ONE LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI SOLAR ENERGY FOUR PRIVATE LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI SOLAR ENERGY JODHPUR TWO LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI WIND ENERGY (GUJARAT) PRIVATE LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI WIND ENERGY KUTCHH FIVE LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADANI WIND ENERGY KUTCHH SIX LIMITED,IN,Utilities,0,6.3,7.8,4.8,4.0
ADAPTHEALTH CORP,US,Health Care Providers & Services,0,7.0,6.7,5.9,6.0
"ADAPTHEALTH, LLC",US,Health Care Providers & Services,0,7.0,6.7,5.9,6.0
ADECOAGRO SA,LU,Food Products,0,6.8,3.7,5.3,5.7
ADEVINTA ASA,NO,Interactive Media & Services,0,5.9,8.4,3.0,5.9
ADIB CAPITAL INVEST 2 LTD,KY,Banks,0,6.5,4.0,5.2,4.7
ADIENT GLOBAL HOLDINGS LTD,JE,Auto Components,1,2.7,2.5,2.8,5.5
ADIENT PUBLIC LIMITED COMPANY,IE,Auto Components,1,2.7,2.5,2.8,5.5
ADIENT US LLC,US,Auto Components,1,2.7,2.5,2.8,5.5
ADMIRAL GROUP PLC,GB,Property & Casualty Insurance,0,7.0,4.1,3.8,7.7
"ADT CAPS Co,Ltd",KR,Telecommunication Services,0,6.1,10.0,7.6,3.0
ADT INC,US,Commercial Services & Supplies,0,6.3,8.3,6.3,4.8
"ADTRAN, INC",US,"Technology Hardware, Storage & Peripherals",0,5.8,2.0,5.0,5.2
ADVA Optical Networking SE,DE,"Technology Hardware, Storage & Peripherals",0,7.0,2.6,5.1,6.0
"ADVANCED INSTRUMENTS, LLC",US,Diversified Financials,0,7.0,8.6,5.9,4.3
"ADVANCED MICRO DEVICES, INC",US,Semiconductors & Semiconductor Equipment,0,6.4,4.3,6.0,5.9
ADYAH SOLAR ENERGY PRIVATE LIMITED,IN,Utilities,0,7.0,9.5,3.3,5.2
AEDIFICA NV,BE,Real Estate Management & Services,0,6.3,7.4,1.9,6.9
AEGIS LOGISTICS LIMITED,IN,"Oil & Gas Refining, Marketing, Transportation & Storage",0,6.7,5.6,5.0,6.1
AEON CREDIT SERVICE (M) BERHAD,MY,Consumer Finance,0,7.0,8.0,5.1,4.2
"AEP TRANSMISSION COMPANY, LLC",US,Utilities,0,7.1,7.0,7.1,6.2
AERCAP GLOBAL AVIATION TRUST,IE,Trading Companies & Distributors,0,7.1,6.1,5.0,6.0
"AEROCARE HOLDINGS, INC",US,Health Care Providers & Services,0,7.0,6.7,5.9,6.0
AEROFLOT-ROSSIYSKIYE AVIALINII PAO,RU,Airlines,1,2.85,8.3,3.8,0.0
"AEROJET ROCKETDYNE HOLDINGS, INC",US,Aerospace & Defense,0,7.0,3.1,5.8,5.4
AEROPORTS DE PARIS SA,FR,Transportation Infrastructure,0,7.0,9.7,9.5,2.6
"AEROPUERTO INTERNACIONAL DE TOCUMEN, SA",PA,Transportation Infrastructure,1,1.5,5.7,3.9,3.2
"AEROVIRONMENT, INC",US,Aerospace & Defense,0,6.5,4.3,5.3,4.5
AETNA INC,US,Health Care Providers & Services,0,5.8,10.0,4.0,5.9
"AFFILIATED MANAGERS GROUP, INC",US,Asset Management & Custody Banks,0,6.5,10.0,4.4,5.9
AFFINITY SUTTON CAPITAL MARKETS PLC,GB,Real Estate Management & Services,0,5.8,4.9,5.6,6.0
AFFINITY WATER FINANCE (2004) PLC,GB,Utilities,0,6.5,5.7,7.8,7.3
AFFINITY WATER FINANCE PLC,GB,Utilities,0,6.5,5.7,7.8,7.3
AFFINITY WATER LIMITED,GB,Utilities,0,6.5,5.7,7.8,7.3
AFFINITY WATER PROGRAMME FINANCE LIMITED,GB,Utilities,0,6.5,5.7,7.8,7.3
AFK SISTEMA PAO,RU,Telecommunication Services,1,2.85,8.6,5.2,1.0
AG BARR PLC,GB,Beverages,0,7.0,3.4,5.1,8.2
AG INSURANCE SA,BE,Multi-Line Insurance & Brokerage,0,7.0,6.0,5.2,6.9
AGCO CORPORATION,US,Construction & Farm Machinery & Heavy Trucks,0,6.9,4.1,5.5,6.2
AGCO International Holdings BV,NL,Construction & Farm Machinery & Heavy Trucks,0,6.9,4.1,5.5,6.2
AGEAS SA,BE,Multi-Line Insurance & Brokerage,0,7.0,6.0,5.2,6.9
AGENUS INC,US,Biotechnology,1,2.8,7.8,4.8,2.6
AGFA-GEVAERT NV,BE,Health Care Equipment & Supplies,0,6.6,4.1,7.3,5.8
AGILE GROUP HOLDINGS LIMITED,CN,Real Estate Development & Diversified Activities,1,2.7,4.5,2.4,3.3
AGILITY TRAINS EAST LIMITED,GB,Industrial Conglomerates,0,7.0,6.0,3.2,6.6
AGRANA Beteiligungs-Aktiengesellschaft,AT,Food Products,0,5.9,2.6,6.5,4.6
AHMEDABAD - MALIYA TOLLWAY LIMITED,IN,Construction & Engineering,1,2.3,5.5,4.3,1.7
"AIDA ENGINEERING, LTD",JP,Industrial Machinery,1,2.6,5.2,4.5,3.3
AIMS APAC REIT,SG,Real Estate Management & Services,1,2.6,5.1,1.5,4.5
AIR LIQUIDE FINANCE SA,FR,Specialty Chemicals,0,6.5,5.3,9.3,5.5
"AIR LIQUIDE US, LLC",US,Specialty Chemicals,0,6.5,5.3,9.3,5.5
"AIR TRANSPORT SERVICES GROUP, INC",US,Air Freight & Logistics,1,2.7,5.8,3.8,5.6
"AIRBNB, INC",US,Hotels & Travel,1,2.3,6.2,3.4,3.5
AIRTEL AFRICA PLC,GB,Telecommunication Services,0,6.1,8.0,5.7,4.8
AISIN CORPORATION,JP,Auto Components,1,2.3,5.8,5.4,1.9
AIXTRON SE,DE,Semiconductors & Semiconductor Equipment,0,7.0,3.4,5.0,7.0
"AJU IB INVESTMENT Co, Ltd",KR,Asset Management & Custody Banks,1,1.7,6.7,2.5,4.5
AK Medical Holdings Ltd,CN,Health Care Equipment & Supplies,0,6.6,9.1,7.5,3.3
"AKAMAI TECHNOLOGIES, INC",US,Software & Services,0,6.9,9.0,5.2,5.1
"AKEBIA THERAPEUTICS, INC",US,Biotechnology,1,2.1,5.1,3.1,4.8
AKER BP ASA,NO,Oil & Gas Exploration & Production,0,6.5,4.6,7.1,3.2
AKTIESELSKABET SCHOUW & CO,DK,Food Products,0,6.5,5.0,4.7,5.2
AKWEL SA,FR,Auto Components,1,2.0,2.0,2.6,5.2
ALAM SYNERGY PTE LTD,SG,Real Estate Development & Diversified Activities,1,1.9,4.0,0.4,3.0
ALAMO GROUP INC,US,Construction & Farm Machinery & Heavy Trucks,0,6.9,2.7,5.0,7.5
"ALASKA AIR GROUP, INC",US,Airlines,0,6.9,3.9,4.8,5.6
"ALASKA AIRLINES, INC",US,Airlines,0,6.9,3.9,4.8,5.6
"ALBERTSONS COMPANIES, INC",US,Retail - Food & Staples,1,2.7,1.9,2.9,6.2
"ALBERTSONS COMPANIES, LLC",US,Retail - Food & Staples,1,2.7,1.9,2.9,6.2
ALBIOMA CODORA ENERGIA SA,BR,Utilities,0,7.0,7.3,2.0,6.4
ALBIOMA SA,FR,Utilities,0,7.0,7.3,2.0,6.4
ALCON FINANCE CORPORATION,US,Health Care Equipment & Supplies,0,6.6,7.4,6.3,5.4
ALD SA,FR,Trading Companies & Distributors,0,6.6,4.9,6.7,5.3
ALEXANDER FORBES GROUP HOLDINGS LIMITED,ZA,Asset Management & Custody Banks,0,6.9,8.0,4.1,4.7
"ALEXANDRIA REAL ESTATE EQUITIES, INC",US,Real Estate Management & Services,0,6.1,7.8,4.6,5.1
ALFA BOND ISSUANCE PUBLIC LIMITED COMPANY,IE,Diversified Financials,1,2.1,0.7,3.2,5.0
ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,HK,Retail - Food & Staples,0,6.8,4.1,5.6,4.2
ALIMENTATION COUCHE-TARD INC,CA,Retail - Food & Staples,0,6.5,4.7,4.7,5.6
ALK-ABELLO AS,DK,Pharmaceuticals,0,6.7,4.4,5.3,5.1
"ALL METRO HEALTH CARE SERVICES, INC",US,Health Care Providers & Services,0,5.8,2.4,5.0,6.1
"ALLETE, INC",US,Utilities,0,7.0,6.6,4.5,6.6
ALLIANCE AVIATION SERVICES LIMITED,AU,Airlines,0,6.1,0.0,6.3,4.7
ALLIANCE BANK MALAYSIA BERHAD,MY,Banks,0,6.7,2.3,3.5,5.6
ALLIANCE ISLAMIC BANK BERHAD,MY,Banks,0,6.7,2.3,3.5,5.6
ALLIANCE PHARMA PLC,GB,Pharmaceuticals,0,6.9,2.4,5.3,5.8
"ALLIANCE RESOURCE OPERATING PARTNERS, LP",US,Metals and Mining - Non-Precious Metals,1,2.5,1.6,2.2,4.2
"ALLIANCE RESOURCE PARTNERS, LP",US,Metals and Mining - Non-Precious Metals,1,2.5,1.6,2.2,4.2
"ALLIANT INSURANCE SERVICES, INC",US,Asset Management & Custody Banks,1,1.7,8.3,5.1,3.1
"ALLIED WASTE INDUSTRIES, LLC",US,Commercial Services & Supplies,0,6.5,5.6,5.4,6.3
"ALLISON TRANSMISSION HOLDINGS, INC",US,Construction & Farm Machinery & Heavy Trucks,0,6.2,3.4,5.6,5.3
"ALLISON TRANSMISSION, INC",US,Construction & Farm Machinery & Heavy Trucks,0,6.2,3.4,5.6,5.3
ALLKEM LIMITED,AU,Metals and Mining - Non-Precious Metals,0,5.9,5.3,6.0,5.3
"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC",US,Health Care Equipment & Supplies,0,5.8,8.0,5.5,5.7
ALLY BANK,US,Consumer Finance,0,6.0,8.7,4.3,6.0
ALLY FINANCIAL INC,US,Consumer Finance,0,6.0,8.7,4.3,6.0
ALM BRAND AS,DK,Property & Casualty Insurance,0,7.0,6.3,4.4,4.6
ALMAVIVA - THE ITALIAN INNOVATION COMPANY SPA,IT,Software & Services,1,1.9,5.3,3.6,1.8
ALME LOAN FUNDING III DESIGNATED ACTIVITY COMPANY,IE,Diversified Financials,1,1.5,10.0,5.7,3.1
ALONY-HETZ PROPERTIES AND INVESTMENTS LTD,IL,Real Estate Management & Services,1,2.4,4.6,5.3,3.5
ALPARGATAS SA,BR,"Textiles, Apparel & Luxury Goods",1,1.9,3.0,1.2,4.8
"ALPHA APPALACHIA HOLDINGS, LLC",US,Steel,1,1.6,1.1,1.8,6.1
"ALPHA METALLURGICAL RESOURCES, INC",US,Steel,1,1.6,1.1,1.8,6.1
ALPINE SECURITIZATION LTD,US,Investment Banking & Brokerage,0,7.1,10.0,6.2,3.9
"ALPS ALPINE CO, LTD",JP,"Electronic Equipment, Instruments & Components",0,6.5,2.8,5.6,4.5
ALSOL ENERGIAS RENOVAVEIS SA,BR,Utilities,0,5.8,7.3,5.9,4.1
"ALTA WIND HOLDINGS, LLC",US,Utilities,0,7.0,7.4,3.9,5.3
ALTAIR ENGINEERING INC,US,Software & Services,0,6.0,4.2,4.7,5.3
ALTAREA SCA,FR,Real Estate Management & Services,0,5.8,7.3,4.7,5.3
ALTICE B2B FRANCE SAS,FR,Telecommunication Services,1,2.2,10.0,4.2,3.0
ALTICE FRANCE SA,FR,Telecommunication Services,1,2.2,10.0,4.2,3.0
"ALTO CENTRAL, LLC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",1,1.6,1.8,4.5,4.8
"ALTO INGREDIENTS, INC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",1,1.6,1.8,4.5,4.8
ALTUS MIDSTREAM LP,US,"Oil & Gas Refining, Marketing, Transportation & Storage",0,6.5,3.7,5.1,7.5
"AMADA CO,LTD",JP,Industrial Machinery,0,6.6,6.2,5.7,4.6
AMALGAMATED BANK,US,Banks,0,5.9,3.9,4.0,5.6
AMATA BGRIMM POWER SPV1 COMPANY LIMITED,TH,Utilities,0,6.0,5.3,5.9,6.6
"AMB CANADA INVESTMENTS, LLC",US,Real Estate Management & Services,0,6.6,7.1,6.2,5.1
AMBER CIRCLE FUNDING LIMITED,KY,Diversified Financials,0,5.9,8.3,5.9,3.3
AMBUJA CEMENTS LIMITED,IN,Construction Materials,1,2.0,2.7,3.0,1.9
AMC NETWORKS INC,US,Media & Entertainment,1,1.7,6.7,4.9,1.1
AMERCO,US,Road & Rail Transport,0,5.9,6.2,5.5,3.1
AMEREN CORPORATION,US,Utilities,0,6.5,6.0,6.2,6.1
AMEREN ILLINOIS COMPANY,US,Utilities,0,6.5,6.0,6.2,6.1
AMERICAN AIRLINES GROUP INC,US,Airlines,1,2.8,3.1,3.1,4.5
"AMERICAN AIRLINES, INC",US,Airlines,1,2.8,3.1,3.1,4.5
"AMERICAN ELECTRIC POWER COMPANY, INC",US,Utilities,0,7.1,7.0,7.1,6.2
"AMERICAN FINANCIAL GROUP, INC",US,Property & Casualty Insurance,1,2.6,1.4,4.1,4.3
AMERICAN HONDA FINANCE CORPORATION,US,Consumer Finance,0,7.1,8.5,1.8,5.4
"AMERICAN NATIONAL GROUP, INC",US,Multi-Line Insurance & Brokerage,1,2.6,2.6,3.8,4.8
"AMERICAN PREMIER UNDERWRITERS, INC",US,Property & Casualty Insurance,1,2.6,1.4,4.1,4.3
"AMERICAN PUBLIC EDUCATION, INC",US,Diversified Consumer Services,0,6.2,6.5,3.9,6.0
AMERICAN SOUTHERN BANK,US,Banks,0,7.0,2.3,4.3,7.0
AMERICAN STATES WATER COMPANY,US,Utilities,0,6.1,5.6,6.0,6.9
"AMERICAN STORES COMPANY, LLC",US,Retail - Food & Staples,1,2.7,1.9,2.9,6.2
AMERICAN TRANSMISSION COMPANY LLC,US,Utilities,0,6.5,6.4,5.0,6.0
"AMERICAN TRANSMISSION SYSTEMS, INCORPORATED",US,Utilities,0,5.8,6.7,5.3,4.2
AMERICAN VANGUARD CORPORATION,US,Specialty Chemicals,1,2.0,3.1,0.0,5.4
AMERICAN WATER CAPITAL CORP,US,Utilities,0,7.0,6.5,4.7,7.5
"AMERICAN WATER WORKS COMPANY, INC",US,Utilities,0,7.0,6.5,4.7,7.5
AMERICANAS SA,BR,Retail - Consumer Discretionary,0,7.1,3.1,7.6,3.1
"AMERICAS CAR-MART, INC",US,Retail - Consumer Discretionary,0,6.8,2.1,5.5,6.6
"AMERICOLD REALTY OPERATING PARTNERSHIP, LP",US,Real Estate Management & Services,1,2.6,5.1,0.0,6.1
AMERICOLD REALTY TRUST,US,Real Estate Management & Services,1,2.6,5.1,0.0,6.1
"AMERIPRISE FINANCIAL, INC",US,Asset Management & Custody Banks,0,6.1,8.7,5.6,3.4
"AMERISAFE, INC",US,Property & Casualty Insurance,1,2.1,2.8,2.1,5.3
"AMETEK, INC",US,Electrical Equipment,1,1.5,4.6,0.8,5.6
AMG Advanced Metallurgical Group NV,NL,Metals and Mining - Non-Precious Metals,0,6.9,4.6,4.6,6.0
"AMICUS THERAPEUTICS, INC",US,Biotechnology,1,2.4,3.1,3.3,5.2
"AMMO, INC",US,Leisure Products,0,6.5,0.9,6.8,5.5
AMNEAL PHARMACEUTICALS LLC,US,Pharmaceuticals,1,1.8,4.1,2.6,3.4
"AMNEAL PHARMACEUTICALS, INC",US,Pharmaceuticals,1,1.8,4.1,2.6,3.4
AMOREPACIFIC CORP,KR,Household & Personal Products,0,6.1,6.2,5.6,4.4
AMP BANK LIMITED,AU,Asset Management & Custody Banks,0,6.1,10.0,5.5,5.1
AMP GROUP FINANCE SERVICES LIMITED,AU,Asset Management & Custody Banks,0,6.1,10.0,5.5,5.1
AMP LIMITED,AU,Asset Management & Custody Banks,0,6.1,10.0,5.5,5.1
AMPOL LIMITED,AU,"Oil & Gas Refining, Marketing, Transportation & Storage",0,7.14,5.1,6.6,7.3
ANA HOLDINGS INC,JP,Airlines,0,6.9,3.9,6.4,3.7
ANDEAVOR LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",0,6.0,5.0,5.1,5.8
"ANGI GROUP, LLC",US,Interactive Media & Services,1,1.6,6.2,2.4,3.1
ANGI INC,US,Interactive Media & Services,1,1.6,6.2,2.4,3.1
"ANGIODYNAMICS, INC",US,Health Care Equipment & Supplies,0,7.1,6.3,6.3,5.8
ANGLO AMERICAN CAPITAL PLC,GB,Metals and Mining - Non-Precious Metals,0,7.1,4.0,5.5,6.3
ANGLO AMERICAN PLC,GB,Metals and Mining - Non-Precious Metals,0,7.1,4.0,5.5,6.3
ANHUI CONCH CEMENT COMPANY LIMITED,CN,Construction Materials,1,2.0,2.3,2.6,3.6
ANHUI GUJING DISTILLERY COMPANY LIMITED,CN,Beverages,1,1.9,3.8,3.8,2.7
"ANIKA THERAPEUTICS, INC",US,Biotechnology,1,2.4,4.4,3.4,6.8
ANRITSU CORPORATION,JP,"Electronic Equipment, Instruments & Components",0,6.1,3.5,5.6,4.3
"ANTARES PHARMA, INC",US,Pharmaceuticals,0,7.1,6.4,4.1,5.5
"ANTHEM INSURANCE COMPANIES, INC",US,Health Care Providers & Services,0,6.3,10.0,4.9,6.5
"ANTHEM, INC",US,Health Care Providers & Services,0,6.3,10.0,4.9,6.5
APA CORPORATION,US,Oil & Gas Exploration & Production,0,6.5,3.8,5.1,6.3
APACHE CORPORATION,US,Oil & Gas Exploration & Production,0,6.5,3.7,5.1,7.5
APG SGA SA,CH,Media & Entertainment,0,6.0,10.0,4.1,5.8
APL REALTY HOLDINGS PTE LTD,ID,Real Estate Development & Diversified Activities,1,2.4,2.6,3.5,2.8
"APOLLO ASSET MANAGEMENT, INC",US,Diversified Financials,1,1.5,10.0,5.7,3.1
"APOLLO GLOBAL MANAGEMENT, INC",US,Diversified Financials,1,1.5,10.0,5.7,3.1
"APOLLO MANAGEMENT HOLDINGS, LP",US,Asset Management & Custody Banks,1,1.5,10.0,5.7,3.1
APOLLO SERIES 2004-1E TRUST,AU,Property & Casualty Insurance,0,6.7,2.7,4.4,7.1
APOLLO SERIES 2005-2 TRUST,AU,Property & Casualty Insurance,0,6.7,2.7,4.4,7.1
APOLLO SERIES 2006-1E TRUST,AU,Property & Casualty Insurance,0,6.7,2.7,4.4,7.1
APPIAN CORPORATION,US,Software & Services,0,6.2,4.9,5.6,4.2
APPLE INC,US,"Technology Hardware, Storage & Peripherals",0,6.1,3.8,5.6,3.6
APRR SA,FR,Transportation Infrastructure,0,6.7,6.8,5.2,6.2
"APTARGROUP, INC",US,Containers & Packaging,0,7.0,6.3,2.7,5.9
"AQUA PENNSYLVANIA, INC",US,Utilities,0,7.0,6.3,6.9,5.8
ARA ASSET MANAGEMENT LIMITED,SG,Real Estate Development & Diversified Activities,0,6.1,5.2,4.9,5.3
"ARBOR REALTY TRUST, INC",US,Asset Management & Custody Banks,1,1.8,6.7,4.2,3.4
ARCADIS NV,NL,Construction & Engineering,0,6.5,4.5,5.2,6.1
"ARCLAND SERVICE HOLDINGS CO,LTD",JP,Restaurants,1,1.43,1.5,3.5,4.9
ARCONIC CORPORATION,US,Metals and Mining - Non-Precious Metals,0,5.8,3.8,3.2,5.9
ARCOUR SA,FR,Construction & Engineering,0,6.0,5.1,2.8,6.8
ARDAGH METAL PACKAGING FINANCE USA LLC,US,Containers & Packaging,1,1.7,6.1,3.1,3.8
ARDAGH PACKAGING FINANCE PLC,IE,Containers & Packaging,1,1.7,6.1,3.1,3.8
"ARENA PHARMACEUTICALS, INC",US,Biotechnology,0,6.2,5.7,4.6,5.4
ARES COMMERCIAL REAL ESTATE CORPORATION,US,Asset Management & Custody Banks,1,1.8,6.7,2.5,4.1
"ARGAN, INC",US,Construction & Engineering,0,5.8,4.5,4.4,4.9
ARGO BLOCKCHAIN PLC,GB,Software & Services,1,1.7,0.3,1.7,4.4
ARGOSY PROPERTY LIMITED,NZ,Real Estate Management & Services,0,6.3,5.4,4.0,7.1
"ARIAKE JAPAN Co,Ltd",JP,Food Products,1,1.6,2.1,5.9,1.5
ARKEMA SA,FR,Diversified Chemicals,0,6.4,5.3,2.5,5.9
ARLO II LIMITED,KY,Banks,0,7.1,6.5,4.1,6.0
ARLO IV LIMITED,KY,Banks,0,7.1,6.5,4.1,6.0
ARLO IX LIMITED,KY,Banks,0,7.1,6.5,4.1,6.0
ARLO X LIMITED,KY,Banks,0,7.1,6.5,4.1,6.0
ARLO XII LIMITED,KY,Banks,0,7.1,6.5,4.1,6.0
ARLO XIV LIMITED,GB,Banks,0,7.1,6.5,4.1,6.0
ARMAZEM MATEUS SA,BR,Retail - Food & Staples,1,1.6,1.5,3.0,3.5
"ARMOUR RESIDENTIAL REIT, INC",US,Asset Management & Custody Banks,1,2.4,8.0,3.0,3.3
ARNOLDO MONDADORI EDITORE SPA,IT,Media & Entertainment,0,6.5,7.0,6.7,3.8
ARRAY BIOPHARMA INC,US,Pharmaceuticals,1,1.5,4.7,3.6,4.2
"ARRAY TECHNOLOGIES, INC",US,Electrical Equipment,1,2.6,4.1,4.6,5.1
ARRK CORPORATION,JP,Commodity Chemicals,0,7.0,4.7,3.2,6.3
ARVAL SERVICE LEASE SA,FR,Banks,0,7.0,4.2,4.1,6.6
AS CIMBRIA,DK,Construction & Farm Machinery & Heavy Trucks,0,6.9,4.1,5.5,6.2
ASCENTIAL PLC,GB,Media & Entertainment,0,7.1,8.4,4.2,7.1
ASCOPIAVE SPA,IT,Utilities,0,6.1,6.6,6.6,4.9
ASGN INCORPORATED,US,Professional Services,0,6.9,8.0,5.7,7.0
ASIA CEMENT (CHINA) HOLDINGS CORPORATION,CN,Construction Materials,1,2.4,0.6,4.6,2.8
ASKUL Corporation,JP,Retail - Consumer Discretionary,0,6.8,2.1,7.7,3.8
ASM International NV,NL,Semiconductors & Semiconductor Equipment,0,7.0,2.5,9.1,5.7
ASPEN PHARMACARE HOLDINGS LIMITED,ZA,Pharmaceuticals,0,6.9,3.8,5.3,6.8
"ASPEN TECHNOLOGY, INC",US,Software & Services,0,7.1,5.4,5.9,5.6
ASPIRA WOMENS HEALTH INC,US,Health Care Equipment & Supplies,0,6.8,5.9,5.9,4.9
ASR Nederland NV,NL,Multi-Line Insurance & Brokerage,0,7.0,6.3,5.4,6.4
