Company_Name,Country,Sector,Overall_Rating,Overall_Score,Environmental_Score,Social_Score,Governance_Score
0921706 BC LTD,CA,Telecommunication Services,0,6.6,10.0,7.4,2.7
1&1 AG,DE,Telecommunication Services,1,2.0,7.8,3.3,4.4
"1000 AUAHI, LLC",US,Real Estate Development & Diversified Activities,0,6.8,6.1,4.1,6.9
"1LIFE HEALTHCARE, INC",US,Health Care Providers & Services,0,6.3,6.3,6.0,4.2
1ST SOURCE BANK,US,Banks,1,2.2,0.0,2.6,4.7
1ST SOURCE CORPORATION,US,Banks,1,2.2,0.0,2.6,4.7
2Seventy Bio Inc,US,Biotechnology,1,2.8,2.2,3.4,6.0
"2U, INC",US,Software & Services,0,6.9,4.7,4.7,6.3
360 DigiTech Inc,CN,Consumer Finance,1,2.3,6.5,3.6,2.5
361 DEGREES INTERNATIONAL LIMITED,CN,"Textiles, Apparel & Luxury Goods",1,2.8,2.7,2.6,4.5
3SBIO INC,CN,Biotechnology,0,6.2,6.3,4.3,6.5
4finance Holding SA,LU,Consumer Finance,1,1.7,6.7,3.8,4.9
4finance SA,LU,Consumer Finance,1,1.7,6.7,3.8,4.9
7750 WISCONSIN AVENUE LLC,US,Real Estate Management & Services,0,7.1,8.0,4.2,5.9
A O SMITH CORPORATION,US,Building Products,0,6.8,7.1,5.5,3.0
AA BOND CO LIMITED,JE,Diversified Consumer Services,0,5.9,10.0,6.5,2.3
AA LIMITED,GB,Diversified Consumer Services,0,5.9,10.0,6.5,2.3
AAC TECHNOLOGIES HOLDINGS INC,CN,"Electronic Equipment, Instruments & Components",0,6.8,3.5,5.5,4.5
AACI REIT MTN PTE LTD,SG,Real Estate Management & Services,1,2.6,5.1,1.5,4.5
AADVANTAGE LOYALTY IP LTD,KY,Airlines,1,2.8,3.1,3.1,4.5
AAI LIMITED,AU,Property & Casualty Insurance,0,6.7,2.7,4.4,7.1
AALOK SOLARFARMS LIMITED,IN,Utilities,0,7.0,9.5,3.3,5.2
"AAON, INC",US,Building Products,0,7.1,5.0,7.0,5.6
AB Sagax,SE,Real Estate Management & Services,0,7.1,5.2,8.1,5.7
AB Traction,SE,Asset Management & Custody Banks,1,1.8,8.0,4.1,1.6
"ABC-MART,INC",JP,Retail - Consumer Discretionary,1,2.2,2.6,3.7,3.1
ABCAM PLC,GB,Health Care Equipment & Supplies,0,6.3,7.8,5.6,5.9
ABHA SOLARFARMS LIMITED,IN,Utilities,0,7.0,9.5,3.3,5.2
ABJA INVESTMENT CO PTE LTD,SG,Steel,1,1.8,2.3,2.0,4.3
ABM INDUSTRIES INCORPORATED,US,Commercial Services & Supplies,0,7.1,8.3,5.9,6.1
ABN AMRO Bank NV,NL,Banks,0,7.0,9.2,3.5,4.7
ABN AMRO FUNDING USA LLC,US,Banks,0,7.0,9.2,3.5,4.7
ABP FINANCE PLC,GB,Transportation Infrastructure,0,5.9,5.8,6.9,5.5
ABPA HOLDINGS LIMITED,GB,Transportation Infrastructure,0,5.9,5.8,6.9,5.5
ABR Reinsurance Capital Holdings Ltd,BM,Property & Casualty Insurance,0,6.7,5.6,4.7,5.2
ABU DHABI NATIONAL ENERGY COMPANY - PJSC,AE,Utilities,1,2.8,5.3,3.9,1.7
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION PJSC,AE,"Oil & Gas Refining, Marketing, Transportation & Storage",0,7.0,6.4,6.6,3.4
AC Bebidas S de RL de CV,MX,Beverages,0,6.7,6.1,5.4,4.6
"ACADEMY SPORTS AND OUTDOORS, INC",US,Retail - Consumer Discretionary,0,6.1,1.6,4.5,6.5
"ACADEMY, LTD",US,Retail - Consumer Discretionary,0,6.1,1.6,4.5,6.5
"ACADIA HEALTHCARE COMPANY, INC",US,Health Care Providers & Services,0,7.0,6.5,5.2,6.3
ACC LIMITED,IN,Construction Materials,1,1.6,2.0,2.6,2.6
"ACCEL ENTERTAINMENT, INC",US,Casinos & Gaming,0,7.0,4.8,6.5,4.9
ACCO BRANDS CORPORATION,US,Commercial Services & Supplies,0,6.1,8.8,2.8,5.3
ACCOR SA,FR,Hotels & Travel,0,6.9,6.3,4.3,5.7
"ACCRUENT, LLC",US,Industrial Machinery,0,6.3,4.8,6.1,5.0
